LevelNumber,dotMax,Spread,ratio
1,30,0.7,20/60
2,50,0.1,20/60
3,30,0.7,21/60
4,50,0.1,21/60
5,30,0.7,22/60
6,50,0.1,22/60
7,30,0.7,23/60
8,50,0.1,23/60
9,50,0.1,24/60
10,80,0.1,24/60
11,50,0.1,25/60
12,80,0.1,25/60
13,50,0.1,26/60
14,80,0.1,26/60
15,50,0.1,27/60
16,80,0.1,27/60
17,70,0.1,28/60
18,100,0.1,28/60
19,70,0.1,29/60
20,100,0.1,29/60
21,70,0.1,30/60
22,100,0.1,30/60
23,70,0.1,31/60
24,100,0.1,31/60
25,100,0.1,32/60
26,130,0.1,32/60
27,100,0.1,33/60
28,130,0.1,33/60
29,100,0.1,34/60
30,130,0.1,34/60
31,100,0.1,35/60
32,130,0.1,35/60
33,130,0.1,36/60
34,150,0.1,36/60
35,130,0.1,37/60
36,150,0.1,37/60
37,130,0.1,38/60
38,150,0.1,38/60
39,130,0.1,39/60
40,150,0.1,39/60
41,150,0.1,40/60
42,180,0.1,40/60
43,150,0.1,41/60
44,180,0.1,41/60
45,150,0.1,42/60
46,180,0.1,42/60
47,150,0.1,43/60
48,180,0.1,43/60
49,180,0.1,44/60
50,200,0.1,44/60
51,180,0.1,45/60
52,200,0.1,45/60
53,180,0.1,46/60
54,200,0.1,46/60
55,180,0.1,47/60
56,200,0.1,47/60
57,180,0.1,48/60
58,200,0.1,48/60
59,180,0.1,49/60
60,200,0.1,49/60
61,180,0.1,50/60
62,200,0.1,50/60
63,180,0.1,51/60
64,200,0.1,51/60
65,180,0.1,52/60
66,200,0.1,52/60
67,180,0.1,53/60
68,200,0.1,53/60
69,180,0.1,54/60
70,200,0.1,54/60
71,180,0.1,55/60
72,200,0.1,55/60
73,180,0.1,56/60
74,200,0.1,56/60
75,180,0.1,57/60
76,200,0.1,57/60
77,180,0.1,58/60
78,200,0.1,58/60
79,180,0.1,59/60
80,200,0.1,59/60
